"date","communication","utilities","development","entertainment","uncategorized","learning","design","news","undefined","business","shopping","social"
"2021-09-06T23:00:00",29,14,,,229,,,,,,,
"2021-09-07T00:00:00",12,30,,305,,,,,,,,
"2021-09-07T01:00:00",,5,,2997,575,,,17,,,,
"2021-09-07T02:00:00",,5,,2937,,,,,,,,
"2021-09-07T08:00:00",367,30,10,873,354,83,383,,,,,
"2021-09-07T09:00:00",563,102,40,127,493,6,2124,124,,,,
"2021-09-07T10:00:00",152,187,2399,156,522,37,61,,,,,
"2021-09-07T11:00:00",77,65,656,1537,9,,2,,,,,
"2021-09-07T12:00:00",2,15,,583,,2,,,,,794,
"2021-09-07T13:00:00",153,39,,2,131,190,,,,,,
"2021-09-07T14:00:00",1113,152,,1082,843,53,,,,,,
"2021-09-07T15:00:00",831,273,53,,77,47,2252,35,,,,
"2021-09-07T16:00:00",337,129,125,83,446,115,2205,,,,129,
"2021-09-07T17:00:00",42,20,300,,349,274,3,237,,247,,
"2021-09-07T19:00:00",95,43,17,,125,11,25,5,,239,,
"2021-09-08T00:00:00",78,44,58,,,,,,,,,
"2021-09-08T01:00:00",157,513,1318,,276,669,273,208,,78,,
"2021-09-08T02:00:00",,376,580,,590,35,,,,109,,
"2021-09-08T20:00:00",334,23,,64,8,,,,,,,
"2021-09-08T21:00:00",826,228,1352,,372,398,,,,31,,
"2021-09-08T22:00:00",942,243,15,1206,416,328,137,,,63,,204
"2021-09-08T23:00:00",1519,77,605,248,219,13,890,,,,,2
"2021-09-09T00:00:00",,,,,,,13,,,,,
"2021-09-09T08:00:00",11,112,286,1295,49,,,,,9,,
"2021-09-09T09:00:00",64,402,781,306,324,124,580,,,503,,
"2021-09-09T10:00:00",142,222,1352,,120,,,,,1968,,
"2021-09-09T11:00:00",230,435,1939,3,336,1136,,,,187,,12
"2021-09-09T12:00:00",111,214,3581,,549,115,,,,492,,
"2021-09-09T13:00:00",4,30,1233,,54,,,,,419,,
"2021-09-09T14:00:00",538,313,3,917,6,325,3,191,,838,,
"2021-09-09T15:00:00",551,15,,457,231,607,,,,264,,
"2021-09-09T16:00:00",38,197,17,126,535,1295,,,,875,,
"2021-09-09T17:00:00",1430,268,,,643,212,,,,1409,,
"2021-09-09T18:00:00",269,181,,,8,31,3057,35,,,,
"2021-09-09T19:00:00",15,119,,,43,,2365,2,,,,
"2021-09-09T20:00:00",682,95,,,16,19,9,141,,981,,
"2021-09-09T21:00:00",334,608,,195,,46,,,,1042,,
"2021-09-09T22:00:00",241,55,4,2786,72,11,,,,80,,
"2021-09-09T23:00:00",15,8,,4,28,19,,,,384,,
"2021-09-10T09:00:00",19,240,706,1606,197,41,,,,533,,
"2021-09-10T10:00:00",,63,2485,302,289,27,,,,698,,
"2021-09-10T11:00:00",186,78,733,849,216,59,220,,,2198,,
"2021-09-10T12:00:00",527,77,,552,669,232,,,,1304,259,3
"2021-09-10T13:00:00",80,562,,,15,67,48,,,418,231,
"2021-09-10T14:00:00",300,303,,2224,288,426,109,37,,342,42,
"2021-09-10T15:00:00",1671,102,,795,82,40,27,,,67,,
"2021-09-10T16:00:00",492,2,,,55,222,,,,,,
"2021-09-10T18:00:00",,144,988,,86,,4,,,43,,
"2021-09-10T19:00:00",360,1244,,91,215,123,,91,,,,
"2021-09-10T20:00:00",411,127,140,674,761,1082,181,142,,53,,
"2021-09-10T21:00:00",1623,392,,7,85,31,1416,,,15,,
"2021-09-10T22:00:00",1686,298,216,,139,23,1169,,,41,,
"2021-09-10T23:00:00",587,14,2,,116,42,523,38,,,,
"2021-09-11T02:00:00",,57,,2577,8,,,,,,,
"2021-09-11T03:00:00",4,7,,2321,5,,,,,,,
"2021-09-11T09:00:00",385,10,,2327,324,12,11,,,18,,
"2021-09-11T10:00:00",715,209,306,251,589,459,29,157,,421,,
"2021-09-11T11:00:00",324,131,20,173,13,219,29,,,2135,,
"2021-09-11T12:00:00",99,10,3,100,,4,,,,1378,,
"2021-09-11T13:00:00",118,413,,273,786,146,116,,,1144,37,
"2021-09-11T14:00:00",650,13,,1059,34,2,1809,,,3,,
"2021-09-11T15:00:00",93,34,,79,116,101,3130,,,18,,
"2021-09-11T16:00:00",9,9,,143,143,19,3247,,,,,
"2021-09-11T17:00:00",428,123,,72,765,329,1833,,,,,
"2021-09-11T18:00:00",261,11,,3,135,35,3125,,,10,,
"2021-09-11T19:00:00",623,371,,,181,2,356,,,10,,
"2021-09-11T20:00:00",207,91,,815,4,,351,,,2,,
"2021-09-11T21:00:00",469,42,,4,55,,2959,,,21,,
"2021-09-11T22:00:00",234,3,,,,,3337,,,,,
"2021-09-11T23:00:00",362,76,,,,26,3104,,,,,
"2021-09-12T00:00:00",260,27,,3,4,,3289,,,,,
"2021-09-12T01:00:00",631,34,,,9,,1912,,,14,80,
"2021-09-12T02:00:00",,,,,,,1,,,,,
"2021-09-12T09:00:00",64,39,,1594,,3,1237,120,,,,
"2021-09-12T10:00:00",342,18,,46,,,3148,,,15,,
"2021-09-12T11:00:00",243,22,,,,10,3315,,,,,
"2021-09-12T12:00:00",371,339,,817,4,,2033,,,,,
"2021-09-12T13:00:00",705,125,,1080,5,205,1448,2,,12,,3
