"date","communication","utilities","development","entertainment","uncategorized","learning","design","news","undefined","business","shopping","social"
"2021-09-26T11:00:00",1369,257,1027,,795,180,15,751,,771,,14
"2021-09-26T12:00:00",30,138,951,,23,3160,,,,176,68,3
"2021-09-26T13:00:00",576,1088,107,,162,224,,,,104,,
"2021-09-26T14:00:00",502,605,574,,353,71,293,61,,969,,168
"2021-09-26T15:00:00",1192,213,1008,,878,,272,28,,737,34,
"2021-09-26T16:00:00",370,853,50,39,1142,54,1306,164,22,643,,
"2021-09-26T17:00:00",67,278,,90,,1535,565,,,,,
"2021-09-26T18:00:00",1870,507,338,27,293,39,,,,6,,
"2021-09-26T19:00:00",3290,327,5,884,161,63,,,,,180,
"2021-09-26T20:00:00",3651,76,28,13,264,39,676,,,142,124,
"2021-09-26T21:00:00",2864,36,,584,9,89,,335,,,,
"2021-09-26T22:00:00",795,1503,2,218,166,,2,783,,18,,
"2021-09-26T23:00:00",715,461,,26,648,40,,1532,,,,
"2021-09-27T00:00:00",236,379,,10,1051,188,,1654,,,,
"2021-09-27T01:00:00",,728,,94,,8,,29,,,,
"2021-09-27T06:00:00",,1800,,,,,,,,,,
"2021-09-27T07:00:00",,1206,,,,,,,,,,
"2021-09-27T08:00:00",1395,218,27,556,155,190,,344,,478,,
"2021-09-27T09:00:00",1247,1403,,2370,652,,,731,,123,10,68
"2021-09-27T10:00:00",671,1362,444,,316,,,221,,1211,56,36
"2021-09-27T11:00:00",109,1244,,,1366,34,19,151,,2141,25,
"2021-09-27T12:00:00",55,423,536,,927,848,,24,,1710,,
"2021-09-27T13:00:00",2518,231,580,,1138,8,,,,811,,146
"2021-09-27T14:00:00",1026,291,105,1279,287,1078,,,,1275,,
"2021-09-27T15:00:00",549,82,368,15,29,2894,,36,,390,,
"2021-09-27T16:00:00",1583,65,,67,421,1700,,212,,146,,
"2021-09-27T17:00:00",489,313,,,37,1311,,,,16,,
"2021-09-27T18:00:00",1996,578,61,76,648,392,,,,147,,
"2021-09-27T19:00:00",1945,192,431,3,23,135,,,,122,,
"2021-09-27T20:00:00",221,46,127,2956,210,53,,,,38,,
"2021-09-27T21:00:00",135,44,292,2045,951,159,,,,,,
"2021-09-27T22:00:00",702,106,286,,,815,,993,,68,,
"2021-09-27T23:00:00",2462,40,217,,131,408,,94,,497,,
"2021-09-28T00:00:00",2088,137,,1336,7,,,,,,34,
"2021-09-28T08:00:00",571,37,67,,541,1725,,,,6,,
"2021-09-28T09:00:00",483,84,243,,585,1677,,,,191,,249
"2021-09-28T10:00:00",945,158,3,,233,1850,,85,,364,,
"2021-09-28T11:00:00",158,159,,,280,777,2146,,,57,,
"2021-09-28T12:00:00",236,111,314,414,959,1089,396,6,,51,,
"2021-09-28T13:00:00",146,2,,3444,,,6,,,,,
"2021-09-28T14:00:00",1549,202,,440,39,382,885,4,,81,,
"2021-09-28T15:00:00",1207,149,329,,300,595,190,,,120,,
"2021-09-28T16:00:00",1320,30,321,,638,297,27,79,,18,,
"2021-09-28T17:00:00",891,267,42,1570,172,167,,4,,258,,
"2021-09-28T18:00:00",1833,190,135,530,480,258,,,,,,158
"2021-09-28T19:00:00",811,128,162,711,350,492,215,,,44,,
"2021-09-28T20:00:00",933,33,149,211,172,54,,26,,,,
"2021-09-28T21:00:00",102,,7,,,551,,,,19,,
"2021-09-28T22:00:00",1354,71,,130,382,802,,668,,,,136
"2021-09-28T23:00:00",437,,,,18,280,3,,,,,
"2021-09-29T00:00:00",363,2,,29,,176,,23,,,,
"2021-09-29T02:00:00",6,31,4,2705,14,,,,,,,
"2021-09-29T09:00:00",5,52,13,1182,214,18,341,,,148,,
"2021-09-29T10:00:00",24,465,,,55,65,2944,,28,,,5
"2021-09-29T11:00:00",69,142,,19,21,269,1704,,837,,,4
"2021-09-29T12:00:00",72,273,4,1752,140,12,1293,,34,,,
"2021-09-29T13:00:00",45,169,5,1021,52,1562,,,,56,,
"2021-09-29T14:00:00",394,5,114,984,875,1199,7,,,,,
"2021-09-29T15:00:00",921,67,353,1178,373,449,,,,232,,
"2021-09-29T16:00:00",86,1390,456,655,720,61,,,,,,
"2021-09-29T17:00:00",,88,,,29,,,,,,,
"2021-09-29T19:00:00",131,298,3,54,813,703,,,,,,
"2021-09-29T20:00:00",10,341,,1513,176,728,,,,,,
"2021-09-29T21:00:00",152,83,,78,1074,836,,,,,,49
"2021-09-29T22:00:00",1680,318,324,,57,101,83,9,,20,,21
"2021-09-29T23:00:00",405,77,,341,655,72,1199,54,,113,,
"2021-09-30T00:00:00",1115,417,,13,152,,1399,,,,,
"2021-09-30T01:00:00",46,537,,,8,,3,,,272,,
"2021-09-30T07:00:00",59,251,25,229,260,367,53,,,135,,
"2021-09-30T08:00:00",148,126,,,790,819,1032,,37,38,,
"2021-09-30T09:00:00",242,33,,,956,726,1670,,,,,
"2021-09-30T10:00:00",95,300,104,,1478,779,485,,4,2407,,
"2021-09-30T11:00:00",902,72,,,653,187,141,,,298,,200
"2021-09-30T12:00:00",,1,,,,,,,,,,
"2021-09-30T13:00:00",183,438,219,,236,2,685,,92,28,,300
"2021-09-30T14:00:00",447,233,5,21,260,62,344,230,741,1402,,
"2021-09-30T15:00:00",535,454,163,3,595,1147,337,7,391,,,
"2021-09-30T17:00:00",,187,,,,,,,,3,,
"2021-09-30T18:00:00",137,46,,,25,,5,,80,19,,
"2021-09-30T19:00:00",1554,154,84,,159,465,,,2,,,
"2021-09-30T20:00:00",1967,57,261,,967,300,,5,,,,7
"2021-09-30T21:00:00",2085,337,18,127,45,89,,,,,,
"2021-09-30T22:00:00",,1,,26,24,,,,,,,
