"date","communication","entertainment","development","learning","uncategorized","utilities","social","shopping","news","business","design"
"2020-09-24T18:00:00",301,196,,,15,57,,,,,
"2020-09-24T19:00:00",134,1054,,,30,42,,,,,
"2020-09-24T20:00:00",2787,52,,21,123,50,,,,302,
"2020-09-24T21:00:00",491,894,,,126,77,54,,,190,21
"2020-09-24T22:00:00",86,835,,120,137,429,,,,21,
"2020-09-24T23:00:00",2021,538,22,165,466,326,326,29,,146,
"2020-09-25T00:00:00",1670,198,,364,69,233,,,,,
"2020-09-25T01:00:00",3,,,,253,82,21,,,,
"2020-09-25T09:00:00",244,,192,419,399,329,,,237,359,
"2020-09-25T10:00:00",791,,87,57,395,468,,,6,471,
"2020-09-25T11:00:00",,,585,424,360,886,,,239,1057,1076
"2020-09-25T12:00:00",407,,95,80,424,198,,,317,443,1927
"2020-09-25T13:00:00",656,,37,13,304,283,50,,,2280,159
"2020-09-25T14:00:00",32,1878,110,200,20,482,,,,1221,328
"2020-09-25T15:00:00",205,440,91,29,731,437,,,3,411,
"2020-09-25T16:00:00",452,,109,28,530,223,132,,,826,1755
"2020-09-25T17:00:00",622,51,1217,248,738,225,2,,,184,410
"2020-09-25T18:00:00",104,3246,8,4,12,50,,,,4,4
"2020-09-25T19:00:00",940,1717,,29,1215,47,,,,,
"2020-09-25T20:00:00",1368,836,,89,1255,217,,,51,,
"2020-09-25T21:00:00",567,391,3,,30,513,,,,,
"2020-09-25T22:00:00",371,1062,74,,274,1183,,,,59,
"2020-09-25T23:00:00",,3600,,,,,,,,,
"2020-09-26T00:00:00",518,2888,,35,,11,,,,,31
"2020-09-26T01:00:00",266,,,,2,407,,,,,48
"2020-09-26T06:00:00",45,,,,,3,,,,,
"2020-09-26T07:00:00",552,,,,,1,,,,,
"2020-09-26T08:00:00",125,,,11,53,108,,,,11,
"2020-09-26T09:00:00",4,,,,20,442,,,,35,
"2020-09-26T10:00:00",10,,,1597,315,74,,,,114,
"2020-09-26T11:00:00",35,,,,9,173,54,,,157,
"2020-09-26T12:00:00",129,,,,30,73,,,,217,
"2020-09-26T13:00:00",246,,,,69,52,,,,1,
"2020-09-26T14:00:00",37,646,,90,7,271,,,,,
"2020-09-26T15:00:00",64,,,,,65,703,,,,
"2020-09-26T16:00:00",,120,,,102,4,,,,,
"2020-09-26T17:00:00",228,70,,5,2,67,,,,,
"2020-09-26T18:00:00",75,332,,11,139,194,361,,,,
"2020-09-26T19:00:00",1504,855,,27,48,710,,,,,
"2020-09-26T20:00:00",1081,,,,344,,,,,2124,
"2020-09-26T21:00:00",305,56,936,26,328,132,,,,2040,
"2020-09-26T22:00:00",333,513,2133,52,383,728,,45,79,107,
"2020-09-26T23:00:00",833,877,2194,32,242,81,,,,44,
"2020-09-27T00:00:00",319,1218,654,14,578,92,,,,98,
"2020-09-27T01:00:00",,1487,,,336,1764,,,,,
"2020-09-27T02:00:00",,1584,,14,20,6,,,,,
"2020-09-27T09:00:00",45,,,,,,,,,,
"2020-09-27T10:00:00",64,888,318,73,92,602,,,,579,161
"2020-09-27T11:00:00",79,,242,49,125,264,,,,2287,105
"2020-09-27T12:00:00",1326,2301,52,2,10,89,,,,90,217
"2020-09-27T13:00:00",386,2545,,6,28,20,,,,,
"2020-09-27T14:00:00",1305,2490,,,,12,,,,57,
"2020-09-27T15:00:00",407,2315,,74,20,340,,,,,
"2020-09-27T16:00:00",588,955,,,,635,,,,292,
"2020-09-27T17:00:00",1859,297,7,89,18,620,,,,981,334
"2020-09-27T18:00:00",500,1142,,,7,694,,,,,
"2020-09-27T19:00:00",248,1219,,,3,564,,,,78,5
"2020-09-27T20:00:00",65,71,,275,12,1824,35,,,878,20
"2020-09-27T21:00:00",11,236,2,53,,1943,2,,,1002,19
"2020-09-27T22:00:00",2233,304,,51,,562,,,,571,
"2020-09-27T23:00:00",1214,,,1051,350,48,92,,45,257,
"2020-09-28T00:00:00",1483,,,54,82,257,,60,,3,
"2020-09-28T01:00:00",,345,,,6,4,,,,,
"2020-09-28T08:00:00",430,1031,,,114,90,,,,556,
"2020-09-28T09:00:00",111,1036,1933,,150,272,,,,188,
"2020-09-28T10:00:00",788,,1589,19,93,567,,,,565,
"2020-09-28T11:00:00",274,1159,1627,66,1017,266,,,,348,285
"2020-09-28T12:00:00",274,,41,962,316,373,,427,,1264,
"2020-09-28T13:00:00",500,37,4,1499,86,138,,130,192,283,
"2020-09-28T14:00:00",146,19,58,364,1679,193,,31,,1540,256
"2020-09-28T15:00:00",14,70,113,294,901,258,,,,1303,1882
"2020-09-28T16:00:00",551,873,,72,183,444,20,,,1660,1068
"2020-09-28T17:00:00",743,17,,174,333,407,,,,163,2120
"2020-09-28T18:00:00",1527,,329,25,210,234,,,41,1854,350
"2020-09-28T19:00:00",2379,215,1046,725,32,285,18,,,798,10
"2020-09-28T20:00:00",1048,806,728,12,187,930,,,20,204,
"2020-09-28T21:00:00",3326,,9,,22,117,,,,,5
"2020-09-28T22:00:00",2795,,585,4,128,97,,,,6,
"2020-09-28T23:00:00",2171,7,1142,122,63,76,,,,4,
"2020-09-29T00:00:00",1858,,371,63,,79,,,,,
"2020-09-29T01:00:00",321,778,778,30,152,89,,,57,202,
"2020-09-29T02:00:00",747,,,,,10,,,,,
"2020-09-29T08:00:00",136,,46,1059,705,433,,,,144,9
"2020-09-29T09:00:00",117,,148,2455,728,136,,,7,5,13
"2020-09-29T10:00:00",1175,1421,4,556,561,114,,,,229,258
"2020-09-29T11:00:00",764,,7,127,271,541,,,,301,2211
"2020-09-29T12:00:00",234,18,4,5,125,244,15,,,946,3237
"2020-09-29T13:00:00",1465,,200,66,148,259,,,,20,1703
"2020-09-29T14:00:00",864,,956,14,222,485,,,,78,1476
"2020-09-29T15:00:00",98,1162,33,54,958,247,,,,18,617
"2020-09-29T16:00:00",947,167,158,75,18,209,794,,,,1392
"2020-09-29T17:00:00",368,29,298,7,141,345,,,,,1325
"2020-09-29T18:00:00",16,,,,,,,,,,
"2020-09-29T19:00:00",72,534,12,248,320,1574,,,7,,47
"2020-09-29T20:00:00",1841,173,73,23,25,111,,,132,,1355
"2020-09-29T21:00:00",1867,6,352,34,15,68,,,,141,1033
"2020-09-29T22:00:00",2407,,93,,4,115,,,,,29
"2020-09-29T23:00:00",2574,6,145,90,205,114,,131,,12,463
"2020-09-30T00:00:00",1946,7,96,369,274,46,121,,,45,731
"2020-09-30T01:00:00",291,784,63,,7,171,,,,64,2060
"2020-09-30T02:00:00",637,176,418,,25,142,,,,556,
"2020-09-30T08:00:00",271,,,156,1424,545,,,,241,606
"2020-09-30T09:00:00",784,769,260,614,608,383,,,,556,851
"2020-09-30T10:00:00",398,,153,115,269,613,,,,1848,2969
"2020-09-30T11:00:00",1405,10,180,733,480,653,,,,1144,751
"2020-09-30T12:00:00",354,,381,82,809,501,,,2,27,
"2020-09-30T13:00:00",153,779,463,28,150,553,,36,59,36,
"2020-09-30T14:00:00",690,2187,,54,45,677,,,,138,
"2020-09-30T15:00:00",,,16,45,113,21,,,,64,
"2020-09-30T16:00:00",14,,325,72,242,105,439,,,305,
"2020-09-30T17:00:00",283,,592,37,271,204,,54,,1220,
"2020-09-30T18:00:00",193,675,570,64,71,810,,,,727,20
"2020-09-30T19:00:00",524,984,14,,98,1325,,,,10,
"2020-09-30T20:00:00",135,427,1674,93,102,887,,,,,
"2020-09-30T21:00:00",27,6,5048,45,119,565,,,,1,122
"2020-09-30T22:00:00",626,,3816,16,113,217,,,,,607
"2020-09-30T23:00:00",844,,4994,78,263,308,3,,3,,549
